Study,Treatment,Ctot,kec,DOC,kecDOC
Tessier et al. (1998),Unfertilized,500.287001515259,0.436823651286955,1.20600782881178,0.424248805342219
Tessier et al. (1998),Unfertilized,401.540034671084,0.423180244552466,1.70108150522091,0.430239898712363
Tessier et al. (1998),Unfertilized,1057.56956460898,0.425461966867657,1.83695996734847,0.455598735663008
Tessier et al. (1998),Unfertilized,2155.89526856554,0.503053806854907,2.02733842739141,0.463295540970058
Tessier et al. (1998),Unfertilized,2000.81625075499,0.420772792874156,2.03081033605034,0.503355152964554
Tessier et al. (1998),Unfertilized,2103.21252596566,0.425356602119691,1.82102249734218,0.444402583186428
Tessier et al. (1998),Unfertilized,2130.96385731629,0.409189753942324,2.04103388996113,0.425006704151298
Tessier et al. (1998),Unfertilized,2165.64887456325,0.389143003869277,2.37197981054184,0.42212809544953
Tessier et al. (1998),Unfertilized,2185.62054398714,0.409865327914575,2.0959951008349,0.403810156019888
Tessier et al. (1998),Unfertilized,2264.39584140743,0.402786410603767,1.89607209484767,0.402591539141253
Tessier et al. (1998),Unfertilized,2168.13703935859,0.425390248005596,2.14141176576439,0.389091796316893
Tessier et al. (1998),Unfertilized,2290.90309036039,0.435162607024907,,
Tessier et al. (1998),Unfertilized,2420.45353737081,0.446880229500359,,
Tessier et al. (1998),Unfertilized,2433.87303950031,0.456595921764461,,
Tessier et al. (1998),Unfertilized,2594.30990550348,0.463151557007641,,
