"S","CO2","kec","Flush","Time"
0.13532597941996,6.8382747139893,0.223301578582357,4.3326386347444,2.12121212121212
0.123992578759555,6.84573759141856,0.223060623975129,4.3288268422654,2.15151515151515
0.113603930779814,6.85260965242788,0.222838177517774,4.32529356428621,2.18181818181818
0.104081974088348,6.85893603941892,0.222632892687509,4.32202042054822,2.21212121212121
0.0953549877089798,6.86475865875946,0.222443511572463,4.31898998185019,2.24242424242424
0.0873570947534026,6.87011638112957,0.222268860347881,4.31618576046574,2.27272727272727
0.0800277996551996,6.87504524185246,0.222107844503648,4.31359218795727,2.3030303030303
0.073311561156819,6.87957862229132,0.221959444564643,4.31119459505221,2.33333333333333
0.0671573967744625,6.88374742962523,0.221822711645413,4.30897918197169,2.36363636363636
0.0615185168162672,6.88758026466284,0.221696763248255,4.30693298742954,2.39393939393939
0.0563519869999743,6.8911035776533,0.221580779326465,4.30504385744211,2.42424242424242
0.05161841794036,6.89434181957776,0.221473998349594,4.30330040980241,2.45454545454545
0.0472816759376693,6.89731757996393,0.221375713714644,4.30169200078556,2.48484848484848
0.0433086203799355,6.90005172276015,0.221285270050019,4.30020868581622,2.51515151515152
0.0396688574575507,6.90256350779741,0.22120205997468,4.29884118605578,2.54545454545455
0.0363345172779096,6.90487070773295,0.221125520876603,4.29758085210291,2.57575757575758
0.0332800460935933,6.90698971660878,0.221055131906124,4.29641962928562,2.60606060606061
0.0304820158062189,6.9089356511324,0.22099041113845,4.2953500237913,2.63636363636364
0.0279189504445513,6.91072244559355,0.220930912878125,4.29436506936416,2.66666666666667
0.0255711629154234,6.91236293971448,0.220876225163035,4.29345829616189,2.6969696969697
0.0234206097939494,6.91386896228118,0.220825967305359,4.29262369799948,2.72727272727273
0.0214507528310468,6.91525140717297,0.220779787702015,4.29185570400087,2.75757575757576
0.0196464362811196,6.91652030400153,0.220737361758788,4.2911491506997,2.78787878787879
0.0179937709812713,6.91768488438148,0.220698389933983,4.29049925539716,2.81818181818182
0.0164800294329522,6.91875364352316,0.220662595892836,4.28990159035,2.84848484848485
0.0150935497995159,6.91973439721776,0.220629724790333,4.28935205847281,2.87878787878788
0.0138236458827158,6.92063433452624,0.220599541690987,4.28884687105608,2.90909090909091
0.0126605275925884,6.92146006670059,0.220571830063565,4.28838252570052,2.93939393939394
0.0115952243649694,6.92221767280454,0.220546390394416,4.28795578626808,2.96969696969697
0.0106195183797479,6.92291274067169,0.220523038931093,4.28756366446986,3
