"Variable","Predictions","Observations","Study"
"14MBC",8.98811813391718e-12,2.7043397958385e-05,"Glanville et al. (2016)"
"14MBC",8.85595893403369e-12,2.60871944040994e-05,"Glanville et al. (2016)"
"14MBC",8.72499053863586e-12,2.43954496542095e-05,"Glanville et al. (2016)"
"14MBC",8.59595909526384e-12,2.18210554695944e-05,"Glanville et al. (2016)"
"14MBC",8.46883586171103e-12,2.16003931109131e-05,"Glanville et al. (2016)"
"14MBC",8.34359261823932e-12,2.10855142739901e-05,"Glanville et al. (2016)"
"14MBC",8.22020156630157e-12,2.3292137860803e-05,"Glanville et al. (2016)"
"14S",24.9791840133222,24.9791840133222,"Bremer and van Kessel (1990)"
"14S",19.3489263010869,14.3592914088559,"Bremer and van Kessel (1990)"
"14S",14.8195185738908,4.48727856526747,"Bremer and van Kessel (1990)"
"14S",8.37669393734433,0.179491142610698,"Bremer and van Kessel (1990)"
"14S",0.634838096774049,0,"Bremer and van Kessel (1990)"
"14S",0.00284362925529117,0,"Bremer and van Kessel (1990)"
"14S",24.9791840133222,24.9791840133222,"Bremer and van Kessel (1990)"
"14S",19.3489263010869,13.9329999451555,"Bremer and van Kessel (1990)"
"14S",14.8195185738908,1.45836553371193,"Bremer and van Kessel (1990)"
"14S",8.37669393734433,0,"Bremer and van Kessel (1990)"
"14S",0.634838096774049,0,"Bremer and van Kessel (1990)"
"14S",0.00284362925529117,0,"Bremer and van Kessel (1990)"
"14CO2",0,0,"Bremer and van Kessel (1990)"
"14CO2",1.24451555944854,1.22670052184236,"Bremer and van Kessel (1990)"
"14CO2",3.44237231508065,3.957098457556,"Bremer and van Kessel (1990)"
"14CO2",8.05697475302706,7.71634199223419,"Bremer and van Kessel (1990)"
"14CO2",15.8601517675952,9.16068292924213,"Bremer and van Kessel (1990)"
"14CO2",16.8675487004475,10.4071689433723,"Bremer and van Kessel (1990)"
"14CO2",0,0,"Bremer and van Kessel (1990)"
"14CO2",1.24451555944854,1.20691502955458,"Bremer and van Kessel (1990)"
"14CO2",3.44237231508065,4.0560259189949,"Bremer and van Kessel (1990)"
"14CO2",8.05697475302706,7.18213370046413,"Bremer and van Kessel (1990)"
"14CO2",15.8601517675952,8.88368603721322,"Bremer and van Kessel (1990)"
"14CO2",16.8675487004475,9.51682179042218,"Bremer and van Kessel (1990)"
"kec",NA,NA,"Bremer and van Kessel (1990)"
"kec",0.394748115473681,0.409727626459144,"Bremer and van Kessel (1990)"
"kec",0.373475021167445,0.389494163424124,"Bremer and van Kessel (1990)"
"kec",0.333539578563592,0.360311284046693,"Bremer and van Kessel (1990)"
"kec",0.249043681059242,0.33852140077821,"Bremer and van Kessel (1990)"
"kec",0.23740673185762,0.327237354085603,"Bremer and van Kessel (1990)"
"kec",NA,NA,"Bremer and van Kessel (1990)"
"kec",0.394748115473681,0.5,"Bremer and van Kessel (1990)"
"kec",0.373475021167445,0.447470817120623,"Bremer and van Kessel (1990)"
"kec",0.333539578563592,0.378599221789883,"Bremer and van Kessel (1990)"
"kec",0.249043681059242,0.359143968871595,"Bremer and van Kessel (1990)"
"kec",0.23740673185762,0.327237354085603,"Bremer and van Kessel (1990)"
"14MBC",0,0,"Bremer and van Kessel (1990)"
"14MBC",4.38574214662545,9.36719400499584,"Bremer and van Kessel (1990)"
"14MBC",6.71729312663885,16.5257022656558,"Bremer and van Kessel (1990)"
"14MBC",8.5455153975881,17.0778737017398,"Bremer and van Kessel (1990)"
"14MBC",8.48419429709198,15.7171655199614,"Bremer and van Kessel (1990)"
"14MBC",8.21921476850602,14.5536614224988,"Bremer and van Kessel (1990)"
"14MBC",0,0,"Bremer and van Kessel (1990)"
"14MBC",4.38574214662545,9.68272053990096,"Bremer and van Kessel (1990)"
"14MBC",6.71729312663885,19.2865594460756,"Bremer and van Kessel (1990)"
"14MBC",8.5455153975881,17.4525614619396,"Bremer and van Kessel (1990)"
"14MBC",8.48419429709198,15.9735308295718,"Bremer and van Kessel (1990)"
"14MBC",8.21921476850602,15.3621981681932,"Bremer and van Kessel (1990)"
"S",26.3762340526799,26.3762340526799,"Santruckova et al. (2004)"
"S",20.0960295396004,15.7599687151346,"Santruckova et al. (2004)"
"S",15.0595703175269,5.93915538888555,"Santruckova et al. (2004)"
"S",11.0785934203338,0,"Santruckova et al. (2004)"
"S",4.02255791864464,0,"Santruckova et al. (2004)"
"S",1.3453105904177,0,"Santruckova et al. (2004)"
"14CO2",0,0,"Santruckova et al. (2004)"
"14CO2",1.64870995631894,1.70049820678914,"Santruckova et al. (2004)"
"14CO2",4.42885411072489,3.52349134514819,"Santruckova et al. (2004)"
"14CO2",7.26780697744566,5.39824551529388,"Santruckova et al. (2004)"
"14CO2",13.4009829108687,6.52776419476551,"Santruckova et al. (2004)"
"14CO2",16.1057181628358,6.96725543596791,"Santruckova et al. (2004)"
"kec",NA,NA,"Santruckova et al. (2004)"
"kec",0.387990182647549,0.376888928319164,"Santruckova et al. (2004)"
"kec",0.361276738150864,0.313197925317231,"Santruckova et al. (2004)"
"kec",0.336926000113738,0.264466481219235,"Santruckova et al. (2004)"
"kec",0.282261606077763,0.229388679293737,"Santruckova et al. (2004)"
"kec",0.254371789619961,0.218842607856539,"Santruckova et al. (2004)"
"14MBC",NA,0,"Santruckova et al. (2004)"
"14MBC",1.79697441495377,3.68010348725476,"Santruckova et al. (2004)"
"14MBC",2.48840540038778,4.56277091245275,"Santruckova et al. (2004)"
"14MBC",2.70545975216437,4.81983260464175,"Santruckova et al. (2004)"
"14MBC",2.52700159476098,4.428161906393,"Santruckova et al. (2004)"
"14MBC",2.27032046416408,4.14456385728253,"Santruckova et al. (2004)"
"CO2",0,0,"Nannipieri et al. (1977)"
"CO2",1.02922251575482,0,"Nannipieri et al. (1977)"
"CO2",3.09555196345681,0.384551691342442,"Nannipieri et al. (1977)"
"CO2",9.50568445792137,52.5745612524227,"Nannipieri et al. (1977)"
"CO2",13.8732595483823,75.7034857100975,"Nannipieri et al. (1977)"
"CO2",32.6745951991767,92.1956114948314,"Nannipieri et al. (1977)"
"CO2",50.9607839567704,102.355335548251,"Nannipieri et al. (1977)"
"CO2",102.992837987848,116.764874296933,"Nannipieri et al. (1977)"
"CO2",0,0,"Nannipieri et al. (1977)"
"CO2",1.05811494060413,0,"Nannipieri et al. (1977)"
"CO2",3.18213212772945,0.222844870829981,"Nannipieri et al. (1977)"
"CO2",9.76866107035488,37.1755019642741,"Nannipieri et al. (1977)"
"CO2",14.25390205228,59.5969590822069,"Nannipieri et al. (1977)"
"CO2",33.5317200548588,98.7289185801011,"Nannipieri et al. (1977)"
"CO2",52.2197173839648,111.679842970192,"Nannipieri et al. (1977)"
"CO2",104.828204479161,132.58548451754,"Nannipieri et al. (1977)"
"CO2",0,0,"Nannipieri et al. (1977)"
"CO2",0.872376918518348,0,"Nannipieri et al. (1977)"
"CO2",2.60935223041453,0.066411098812493,"Nannipieri et al. (1977)"
"CO2",7.67301715727711,21.7729273104623,"Nannipieri et al. (1977)"
"CO2",10.8598042999568,31.2341100691709,"Nannipieri et al. (1977)"
"CO2",22.8037304959986,36.600103529515,"Nannipieri et al. (1977)"
"CO2",32.4972687883233,43.6083022657728,"Nannipieri et al. (1977)"
"CO2",54.2927071882376,48.5593102765998,"Nannipieri et al. (1977)"
